x, y, head, bump, ifr, batt
39, 18, 218.5, 0, 0, 350.0
39, 18, 218.5, 1, 0, 349.5
39, 18, 66.9, 0, 0, 348.0
39, 19, 66.9, 0, 0, 346.6
40, 20, 66.9, 0, 0, 345.2
40, 21, 66.9, 0, 0, 343.8
40, 22, 66.9, 0, 0, 342.4
41, 23, 66.9, 0, 0, 341.0
41, 24, 66.9, 0, 0, 339.6
42, 25, 66.9, 0, 0, 338.2
42, 26, 66.9, 0, 0, 336.8
42, 27, 66.9, 0, 0, 335.4
43, 28, 66.9, 0, 0, 334.0
43, 28, 66.9, 1, 0, 333.5
42, 28, 112.3, 0, 0, 332.0
42, 28, 112.3, 1, 0, 331.5
42, 27, 301.0, 0, 0, 330.0
43, 26, 301.0, 0, 0, 328.6
43, 25, 301.0, 0, 0, 327.2
44, 24, 301.0, 0, 0, 325.8
44, 23, 301.0, 0, 3, 324.4
44, 23, 301.0, 0, 2, 323.9
44, 23, 301.0, 0, 1, 323.4
44, 23, 301.0, 0, 0, 322.9
45, 23, 0.0, 0, 0, 321.8
45, 24, 90.0, 0, 0, 320.3
44, 24, 180.0, 0, 0, 318.8
44, 23, 270.0, 0, 0, 317.3
45, 23, 0.0, 0, 0, 315.8
45, 24, 90.0, 0, 0, 314.3
45, 25, 90.0, 0, 0, 312.9
44, 25, 180.0, 0, 0, 311.4
43, 25, 180.0, 0, 0, 310.0
43, 24, 270.0, 0, 0, 308.5
43, 23, 270.0, 0, 0, 307.1
44, 23, 0.0, 0, 0, 305.6
45, 23, 0.0, 0, 0, 304.2
45, 24, 90.0, 0, 0, 302.7
45, 25, 90.0, 0, 0, 301.3
44, 25, 180.0, 0, 0, 299.8
43, 25, 180.0, 0, 0, 298.4
42, 25, 180.0, 0, 0, 297.0
42, 24, 270.0, 0, 3, 295.5
42, 24, 270.0, 0, 2, 295.0
42, 24, 270.0, 0, 1, 294.5
42, 24, 270.0, 0, 0, 294.0
42, 23, 270.0, 0, 0, 292.6
42, 22, 270.0, 0, 0, 291.2
43, 22, 0.0, 0, 0, 289.7
44, 22, 0.0, 0, 0, 288.3
45, 22, 0.0, 0, 0, 286.9
45, 23, 90.0, 0, 0, 285.4
45, 24, 90.0, 0, 0, 284.0
45, 25, 90.0, 0, 0, 282.6
44, 25, 180.0, 0, 0, 281.1
43, 25, 180.0, 0, 0, 279.7
42, 25, 180.0, 0, 0, 278.3
42, 24, 270.0, 0, 0, 276.8
42, 23, 270.0, 0, 0, 275.4
42, 22, 270.0, 0, 0, 274.0
42, 21, 270.0, 0, 0, 272.6
43, 21, 0.0, 0, 0, 271.1
44, 21, 0.0, 0, 0, 269.7
45, 21, 0.0, 0, 0, 268.3
46, 21, 0.0, 0, 0, 266.9
46, 22, 90.0, 0, 0, 265.4
46, 23, 90.0, 0, 0, 264.0
46, 24, 90.0, 0, 0, 262.6
46, 25, 90.0, 0, 0, 261.2
45, 25, 180.0, 0, 0, 259.7
44, 25, 180.0, 0, 0, 258.3
43, 25, 180.0, 0, 0, 256.9
42, 25, 180.0, 0, 0, 255.5
42, 24, 270.0, 0, 0, 254.0
42, 23, 270.0, 0, 0, 252.6
42, 22, 270.0, 0, 0, 251.2
42, 21, 270.0, 0, 0, 249.8
42, 22, 87.2, 0, 0, 248.2
42, 21, -90.0, 0, 0, 246.7
43, 22, 56.3, 0, 0, 245.2
44, 22, 0.0, 0, 0, 244.1
45, 22, 0.0, 0, 0, 243.0
46, 22, 0.0, 0, 0, 241.9
46, 21, -90.0, 0, 0, 240.4
47, 21, 0.0, 0, 0, 239.3
48, 21, 0.0, 0, 0, 238.2
47, 21, -153.4, 0, 0, 236.7
46, 20, -153.4, 0, 0, 235.2
45, 20, -153.4, 0, 0, 233.7
45, 19, -116.6, 0, 0, 232.2
45, 20, 45.0, 0, 0, 230.7
46, 20, 45.0, 0, 0, 229.2
47, 21, 56.3, 0, 0, 227.7
47, 22, 63.4, 0, 0, 226.2
47, 23, 63.4, 0, 0, 224.7
48, 24, 45.0, 0, 0, 223.2
48, 24, 0.0, 1, 0, 222.5
48, 25, 90.0, 0, 0, 221.0
48, 25, 0.0, 1, 0, 219.5
47, 25, 180.0, 0, 0, 218.0
46, 25, 180.0, 0, 0, 216.5
45, 25, 180.0, 0, 0, 215.0
44, 25, 180.0, 0, 0, 213.5
43, 25, 180.0, 0, 0, 212.0
42, 25, 180.0, 0, 0, 210.5
41, 25, 180.0, 0, 0, 209.0
40, 25, 180.0, 0, 0, 207.5
39, 25, 180.0, 0, 0, 206.0
38, 25, 180.0, 0, 0, 204.5
39, 25, 0.0, 0, 0, 203.4
38, 25, 135.0, 0, 0, 201.9
38, 26, 90.0, 0, 0, 200.4
38, 27, 90.0, 0, 0, 198.9
38, 28, 90.0, 0, 0, 197.4
39, 28, 0.0, 0, 0, 196.3
38, 28, -153.4, 0, 0, 194.8
37, 27, -153.4, 0, 0, 193.3
36, 27, -135.0, 0, 0, 191.8
36, 26, -116.6, 0, 0, 190.3
35, 25, -153.4, 0, 0, 188.8
34, 25, -153.4, 0, 0, 187.3
33, 24, -135.0, 0, 0, 185.8
34, 25, 63.4, 0, 0, 184.3
34, 26, 71.6, 0, 0, 182.8
35, 27, 63.4, 0, 0, 181.3
35, 28, 90.0, 0, 0, 179.8
36, 28, 0.0, 0, 0, 178.7
35, 28, 180.0, 0, 0, 177.2
34, 28, 180.0, 0, 0, 175.7
34, 28, 180.0, 0, 0, 185.7
34, 28, 180.0, 0, 0, 195.7
34, 28, 180.0, 0, 0, 205.7
34, 28, 180.0, 0, 0, 215.7
34, 28, 180.0, 0, 0, 225.7
34, 28, 180.0, 0, 0, 235.7
34, 28, 180.0, 0, 0, 245.7
34, 28, 180.0, 0, 0, 255.7
34, 28, 180.0, 0, 0, 265.7
34, 28, 180.0, 0, 0, 275.7
34, 28, 180.0, 0, 0, 285.7
34, 28, 180.0, 0, 0, 295.7
34, 28, 180.0, 0, 0, 305.7
34, 28, 180.0, 0, 0, 315.7
34, 28, 180.0, 0, 0, 325.7
34, 28, 180.0, 0, 0, 335.7
34, 28, 180.0, 0, 0, 345.7
34, 28, 180.0, 0, 0, 355.7
34, 28, 180.0, 0, 0, 365.7
34, 28, 180.0, 0, 0, 375.7
34, 28, 180.0, 0, 0, 385.7
34, 28, 180.0, 0, 0, 395.7
34, 28, 180.0, 0, 0, 405.7
34, 28, 180.0, 0, 0, 415.7
34, 28, 180.0, 0, 0, 425.7
34, 28, 180.0, 0, 0, 435.7
34, 28, 180.0, 0, 0, 445.7
34, 28, 180.0, 0, 0, 455.7
34, 28, 180.0, 0, 0, 465.7
34, 28, 180.0, 0, 0, 475.7
34, 28, 180.0, 0, 0, 485.7
34, 28, 180.0, 0, 0, 495.7
34, 28, 180.0, 0, 0, 505.7
34, 28, 180.0, 0, 0, 515.7
34, 28, 180.0, 0, 0, 525.7
34, 28, 180.0, 0, 0, 535.7
34, 28, 180.0, 0, 0, 545.7
34, 28, 180.0, 0, 0, 555.7
34, 28, 180.0, 0, 0, 565.7
34, 28, 180.0, 0, 0, 575.7
